label,jet_pt,jet_mass,n_particles,girth,pt_dispersion,leading_z,jet_eta,jet_phi
0,529.2869,77.94866,56.0,0.1174527,0.32128522,0.26249272,-0.8899611,2.1257162
1,535.33765,46.781654,42.0,0.06329967,0.5143203,0.49222186,0.1337361,-1.3005964
0,539.3907,35.350002,40.0,0.03589286,0.31354532,0.21023683,-0.15710461,-1.7766194
1,541.1594,33.352028,43.0,0.023608886,0.3643228,0.30344093,-0.75879806,-0.7568792
0,502.32208,65.04017,40.0,0.11432875,0.26692808,0.13515432,-1.092055,-1.5145309
0,538.4664,58.156467,47.0,0.06879243,0.2915129,0.19642036,0.5105022,0.79465425
1,511.29163,25.058863,38.0,0.030053906,0.29212436,0.19156154,-0.57052743,2.9877763
0,523.6948,95.7326,56.0,0.1558535,0.25740087,0.1467906,0.6430118,-0.12785369
0,501.82843,43.3546,62.0,0.07254277,0.20834212,0.11325988,1.3998637,2.9677374
0,513.6716,40.74763,44.0,0.03593225,0.28769007,0.16455169,-0.6055835,-0.781968
1,546.439,39.795303,29.0,0.061799873,0.33946493,0.22888078,0.6405576,2.2186632
0,504.26376,37.70922,60.0,0.032776523,0.24484922,0.13997841,0.39957753,-2.9354427
1,514.22894,47.110737,44.0,0.08513783,0.2560182,0.17083041,-0.4009506,-2.8231082
1,504.90378,71.206184,48.0,0.12967356,0.26591593,0.15222643,-0.55967194,-1.3183441
1,525.7196,33.23796,32.0,0.034535576,0.27596426,0.18011953,0.23929925,2.0940454
1,543.10736,17.318226,26.0,0.01186939,0.40134448,0.33108428,-0.6816504,0.40395433
0,509.60196,97.40285,64.0,0.18404974,0.19585818,0.09871073,0.47113323,-1.8312261
0,527.887,31.306374,43.0,0.036793172,0.28398415,0.20557418,-1.1084541,2.2211492
0,507.00906,50.631348,64.0,0.06738156,0.20934321,0.12185577,0.3853001,-1.5617679
1,508.6716,57.45974,37.0,0.10731532,0.26321283,0.15508631,0.7084667,0.79243815
1,502.53177,17.122185,19.0,0.012275207,0.45124012,0.38054505,0.42664108,1.1195844
1,525.13684,35.380943,27.0,0.034600705,0.46274263,0.30561617,-0.075008966,0.9463752
1,530.8932,87.39038,42.0,0.14327317,0.2725269,0.140338,0.6426915,1.1142625
1,510.66696,17.669727,29.0,0.014623475,0.37668285,0.26481572,1.0789458,-0.8841803
1,508.34192,17.731108,21.0,0.01218988,0.39701366,0.22050501,-0.15548117,2.884003
0,503.3923,83.110405,59.0,0.13756913,0.23356085,0.1344006,-0.6936724,-2.4036236
0,520.3971,32.55957,51.0,0.03827518,0.27571994,0.2078925,-0.4545288,-2.1645238
1,510.90204,29.565357,30.0,0.025622621,0.38606992,0.32529208,0.1093063,-2.1784549
1,509.11264,25.68758,26.0,0.024489507,0.44197956,0.3011711,-0.101538375,-2.0997152
0,506.65652,59.74663,68.0,0.08093931,0.21230364,0.11660591,0.34067068,-1.2731003
0,541.61426,46.871586,63.0,0.06291738,0.24714127,0.16855983,-0.14754425,1.9824618
1,535.66724,62.085133,47.0,0.078269444,0.2421332,0.11839733,1.2501887,-1.2936844
0,522.4578,89.22939,57.0,0.14244819,0.22217906,0.11136069,1.1684082,-2.3603938
1,524.6391,21.170145,26.0,0.022932438,0.4767387,0.443036,-1.1412437,-0.74312747
1,544.9987,47.021027,22.0,0.049355067,0.4587143,0.32202923,0.48494956,1.6480927
0,505.43542,52.66266,50.0,0.061903667,0.2099576,0.10443266,-1.4984087,-3.042495
1,506.93884,38.024788,23.0,0.03740975,0.6878259,0.6742204,-1.48564,-1.4639227
1,507.17838,52.12858,26.0,0.062739566,0.5204159,0.444982,1.1178446,-1.3930163
0,516.2788,24.854553,41.0,0.02455904,0.30094603,0.17389286,-0.83144325,2.8558207
1,517.5823,26.277266,20.0,0.019906962,0.4370323,0.30500087,0.06956477,1.3600023
0,537.7478,27.764587,40.0,0.03998428,0.29738042,0.16131994,-0.104412585,0.50009334
1,511.10953,19.993128,30.0,0.018199276,0.35868707,0.2123385,0.37978828,-1.7184846
1,530.023,46.799038,45.0,0.0746445,0.3506691,0.28404197,0.009745078,-1.1647422
0,542.8558,83.50939,69.0,0.13135618,0.20703673,0.11052353,-1.4164996,-1.6374757
1,514.46375,34.61038,33.0,0.02872485,0.42920792,0.39489314,-0.4666106,2.4166994
0,517.91046,70.01992,67.0,0.109534815,0.24400407,0.14001578,0.41027826,1.4031562
1,528.6704,39.653584,27.0,0.05163505,0.36606097,0.2538399,-0.29428828,1.0202925
1,508.6177,25.542267,28.0,0.024524106,0.4415057,0.36176738,-1.3520612,2.327842
1,504.78268,10.634384,22.0,0.0099761905,0.36719146,0.2928547,-1.2309365,-3.0577044
1,539.78705,18.80384,18.0,0.01517713,0.40087426,0.24601926,0.1616784,-0.90602565
0,524.4962,12.2979765,33.0,0.014658954,0.3309251,0.24571787,-0.28389287,0.8006003
0,514.73065,52.623535,61.0,0.07139461,0.24927595,0.16098274,-0.6706639,2.5012653
1,512.11163,24.560476,33.0,0.020592647,0.26700148,0.13906755,-0.5155636,0.47913042
0,508.00546,70.71824,46.0,0.13591976,0.1897193,0.07195825,0.05461004,2.2045124
0,512.1366,64.814125,41.0,0.09620168,0.29789525,0.18607204,-0.93985385,0.30031607
1,513.2809,100.62665,35.0,0.18242624,0.6258572,0.6233709,0.7510772,-2.3984406
0,541.129,48.79293,47.0,0.0526787,0.38149768,0.33818164,1.6191446,0.048876822
0,525.9633,29.696194,55.0,0.041342586,0.23516168,0.1238568,0.84593844,1.0136414
0,545.5058,64.80721,75.0,0.09873382,0.24619608,0.1379264,0.040581863,1.223837
0,503.64346,25.45074,52.0,0.030050188,0.19801451,0.07442987,-1.137321,0.21050653
1,500.21768,52.216724,38.0,0.08401938,0.28661862,0.1352078,0.5656,-1.8443657
0,535.2007,48.409176,50.0,0.045498654,0.22270636,0.09681545,-1.2355478,-1.3240851
0,515.55237,51.727192,71.0,0.0767596,0.24281445,0.16691738,-1.618027,2.9767702
1,516.561,23.48454,29.0,0.022666786,0.36537015,0.29348934,-0.5157469,-1.0237008
1,531.8501,45.03834,58.0,0.06637492,0.29987538,0.18338306,-0.23560573,0.09745811
1,544.69946,18.050098,27.0,0.010190566,0.51484704,0.38343585,1.0235282,-1.8508852
0,501.24692,23.497358,39.0,0.024407968,0.3927226,0.27840492,1.7002676,-1.2051152
0,507.88583,19.66077,39.0,0.021915039,0.2825293,0.13704586,-0.60668844,-1.6759145
0,539.36456,25.108803,44.0,0.028298205,0.22079398,0.088603176,0.2006991,-0.7428317
1,549.7873,70.29376,43.0,0.10035908,0.39602172,0.3448566,-0.45673534,-1.3800739
0,512.0135,25.722694,42.0,0.031519536,0.35127595,0.22129849,0.5661923,1.7564039
0,510.02567,75.46089,59.0,0.12822112,0.23447073,0.13153441,1.677084,-2.427367
1,511.22964,20.93295,22.0,0.018111186,0.40491492,0.30701923,-0.97845507,-2.9676938
1,506.07175,17.04284,30.0,0.017926125,0.29862902,0.16214626,0.8384197,-2.2897959
0,536.62585,42.10397,55.0,0.059999056,0.18859412,0.07169437,-0.37641025,1.7391226
1,532.2383,57.57521,60.0,0.08858379,0.2778425,0.23145068,-1.0837836,1.9282308
0,523.60034,52.327496,84.0,0.07814955,0.17082186,0.06540106,-0.70008504,-0.97567016
0,507.46045,44.570293,67.0,0.07223018,0.21876115,0.15531184,1.0239081,-2.142333
1,528.51306,60.367714,60.0,0.09677811,0.21826299,0.13540342,0.46101198,3.085098
0,547.71185,111.056496,93.0,0.16716309,0.20032573,0.12252547,-0.5393607,0.3231964
0,514.2622,42.873016,39.0,0.039949518,0.27007088,0.14938587,1.0936005,2.2363763
1,531.8709,56.551456,42.0,0.07129114,0.3252683,0.24574023,1.6156222,-0.20600279
1,516.42566,15.500062,23.0,0.01433671,0.5987008,0.583393,1.515524,1.6219243
0,514.32214,31.270517,31.0,0.029940475,0.3095332,0.17499779,1.363915,1.2290783
1,521.8944,15.944183,23.0,0.012053948,0.3571576,0.20651054,-0.13967237,1.0428607
1,506.32236,17.453993,29.0,0.023587547,0.331411,0.22784185,1.0344449,3.0032208
1,534.9323,21.189064,20.0,0.014820216,0.43800637,0.28481027,-0.585387,0.2648981
0,542.5701,50.444084,65.0,0.07426533,0.19884816,0.10343241,-1.5273501,0.77753276
0,505.76035,29.309383,66.0,0.039333414,0.22164726,0.15438026,-0.72494364,0.3088775
1,517.06384,101.22857,88.0,0.18636724,0.18496352,0.101287946,0.65813726,-1.6888307
1,538.9422,18.484192,28.0,0.012801845,0.41998973,0.3265877,0.3810249,-2.3825219
1,509.37308,21.593864,20.0,0.012551538,0.5561201,0.39151785,1.4696094,-0.21874303
0,517.84204,46.389893,32.0,0.061371386,0.33037436,0.21938594,1.4623175,-3.0486412
1,541.1479,54.30402,50.0,0.05706699,0.36430845,0.31263283,-0.38372782,0.8300668
0,528.33954,41.836815,58.0,0.058623683,0.2385765,0.18413424,1.4451089,2.1272488
1,539.8343,27.935503,27.0,0.018050205,0.360793,0.20117033,0.45246038,2.1585853
0,501.26886,27.410868,32.0,0.031893298,0.30268735,0.14844245,-0.41994312,-2.6448972
1,503.5501,26.511295,43.0,0.047622476,0.20453125,0.07872499,-0.20953497,3.1360877
0,529.0706,28.444275,39.0,0.031667247,0.26064864,0.14924525,-0.14325616,2.5514524
0,502.0528,115.58713,118.0,0.21261199,0.14975451,0.052495714,-0.43094873,-1.3108716
1,526.20276,38.28599,52.0,0.03986774,0.42143622,0.35616246,0.2832731,-2.2220848
0,504.18164,41.693882,53.0,0.051617704,0.24448107,0.13146175,0.31251648,3.04483
0,543.5354,53.186428,44.0,0.09053971,0.25868443,0.13996632,1.4433572,3.1323168
1,526.77814,45.86457,32.0,0.07616108,0.29708353,0.20764437,-0.14351252,1.9814132
0,506.76495,54.26592,72.0,0.07567234,0.2379448,0.16854753,0.6529544,2.9750917
1,502.8445,32.602848,25.0,0.023171932,0.36334234,0.25258073,1.319384,0.024774935
0,537.3976,26.227312,39.0,0.020848634,0.30712125,0.17781973,1.229957,3.0257914
0,542.49243,35.86931,49.0,0.044973608,0.24103019,0.12403512,-1.4829686,-2.9855719
1,516.92883,100.08079,45.0,0.18626691,0.2802133,0.15525593,-1.3198463,-2.8002796
1,513.5402,17.402994,15.0,0.011356293,0.61074877,0.5666967,-0.09224475,-2.07634
0,546.3936,32.207546,53.0,0.039467942,0.25456247,0.18211693,1.0760354,-1.2575583
1,526.1339,24.520786,32.0,0.020539202,0.34679374,0.25422406,0.7097505,0.045018636
0,511.1816,36.91487,43.0,0.04258528,0.30229738,0.2049069,-0.39506572,2.6309605
0,524.19836,9.23016,19.0,0.00852611,0.4407036,0.375141,1.2903539,1.321081
0,531.2525,32.677467,55.0,0.039559845,0.19604869,0.087661244,-1.071152,1.9742072
1,508.50055,12.281733,26.0,0.01109543,0.39331582,0.26392978,0.9667513,-1.6363081
1,503.59488,21.433792,38.0,0.026041567,0.34742978,0.20199418,0.6023033,2.5887485
0,526.6149,33.229618,51.0,0.038373668,0.24568589,0.12750088,-0.19993825,-0.4363
1,507.5708,7.187177,14.0,0.0045617158,0.40680295,0.24818957,-0.4728058,-0.8267293
1,522.3758,47.432064,39.0,0.055064656,0.32251504,0.22979254,-0.26423982,2.6393893
0,521.7959,78.76626,86.0,0.13630734,0.16847537,0.07313737,-0.03861639,2.1399624
1,517.8665,70.73532,47.0,0.12264616,0.2315663,0.09545104,1.0760597,-0.65281963
0,519.12683,48.95118,50.0,0.07124487,0.26552477,0.19656254,1.1262659,-2.3370428
1,537.33777,41.051575,44.0,0.067179985,0.26692966,0.1618787,1.6988881,1.5093614
0,516.6191,33.90631,35.0,0.04686593,0.309444,0.1664394,0.6354053,-0.7732363
1,513.4242,26.967918,24.0,0.021110035,0.44704574,0.3786805,-0.13478453,-2.689964
0,524.2225,69.7572,51.0,0.10586038,0.23660819,0.16304678,0.7104536,1.3816928
1,519.9135,65.08605,58.0,0.10302797,0.19751483,0.09644029,0.35115978,0.4344685
0,501.2896,27.699404,49.0,0.045660876,0.2093541,0.0851804,-0.42863545,-1.0928439
1,511.77927,21.352165,14.0,0.008645896,0.58233994,0.48915824,0.5318587,2.9597585
1,511.71436,18.920935,23.0,0.02509578,0.42048877,0.35961866,-0.042090923,-0.18353803
1,530.1127,14.985285,18.0,0.018004298,0.48679325,0.42483577,-0.58778554,3.07819
0,519.6207,27.393517,38.0,0.029878478,0.27911866,0.17190614,0.15014058,-2.7591767
1,502.04666,79.922966,60.0,0.14678735,0.20884234,0.107471526,-0.36249194,-1.0685446
0,505.68127,28.217613,26.0,0.016356617,0.44961888,0.34819672,-0.7074531,-1.3919177
1,501.098,21.326605,22.0,0.012389407,0.3748083,0.2198039,0.95341045,-0.36830133
0,535.1684,25.278975,45.0,0.027463922,0.28798455,0.2266342,0.0026437459,-2.8074481
1,526.83154,47.850708,13.0,0.07416595,0.470055,0.30531752,-0.09705817,-0.82469773
1,515.1177,26.651855,38.0,0.03906282,0.24268107,0.11869658,1.1492174,-1.3109598
0,547.61536,90.98222,87.0,0.1474183,0.17152233,0.06001269,0.85966915,2.15716
1,508.02365,17.758095,23.0,0.021759482,0.3814403,0.27921695,0.33732426,-1.3080184
0,515.71045,41.692448,51.0,0.056812935,0.21561994,0.109032765,-0.269711,1.201036
1,509.21634,21.767359,19.0,0.012409308,0.40725416,0.3054254,-0.7493953,1.3304948
0,543.6801,16.85018,24.0,0.011191675,0.41822228,0.35976794,1.4586084,-1.0465568
1,532.46686,14.192731,20.0,0.008895609,0.35664216,0.20276034,1.406955,0.14693348
1,535.8527,19.657124,28.0,0.011667489,0.36995026,0.27295583,0.6162161,1.1918589
0,505.82227,39.092117,53.0,0.045313068,0.262161,0.15477684,1.4750584,-2.9830997
0,517.5618,36.446316,51.0,0.039841454,0.26251966,0.16078271,-0.2547148,1.9759297
0,507.49356,31.509975,40.0,0.040277105,0.24667831,0.13346544,0.91081154,-2.1881337
1,505.45273,17.071632,17.0,0.009919127,0.5299943,0.47411793,-1.2418432,1.7783675
1,529.2103,28.370148,35.0,0.03131654,0.41652584,0.37803552,0.9356882,-1.635005
1,525.88226,17.865416,27.0,0.013929189,0.5181159,0.48580864,-0.5528327,-1.9328692
0,530.6478,70.86051,53.0,0.12011272,0.25890157,0.16370988,-0.50106627,2.1576195
0,508.89706,26.876997,34.0,0.028489266,0.42789197,0.35827446,-0.8760756,-1.7718273
1,503.78937,40.67159,38.0,0.038004838,0.358438,0.21590231,0.20735076,3.081864
0,545.87256,31.62838,37.0,0.04220124,0.3864074,0.34228945,-0.74897987,0.9912191
0,523.8746,76.29917,75.0,0.12962495,0.18626872,0.08870869,0.90464926,0.8905659
0,520.3699,29.527985,32.0,0.02555955,0.3374014,0.18359402,0.23046172,1.7891667
1,540.07166,42.910255,30.0,0.04386069,0.32699138,0.21426405,0.97732735,-3.113065
1,528.1395,32.223385,37.0,0.029790642,0.3003032,0.16124998,-1.1627294,-3.077642
1,537.49536,31.75601,45.0,0.050298225,0.23170976,0.117333144,0.2612776,0.82712954
0,545.126,59.5851,61.0,0.07394784,0.22283202,0.12029372,-0.30005997,-0.42869553
0,516.0965,29.590683,32.0,0.02932205,0.4938066,0.4578698,0.7391403,-1.2581271
0,543.051,34.558258,55.0,0.03285476,0.25051293,0.11441333,-1.5880842,2.0183387
1,513.4275,36.046722,32.0,0.036267713,0.60745376,0.5911574,0.10665847,-2.0490277
1,545.64996,25.6375,32.0,0.016976442,0.34694237,0.2583453,-0.67784476,-1.3800868
0,517.1657,44.490955,59.0,0.06429392,0.22476134,0.10898358,0.12668742,-1.8521838
0,523.8561,25.401434,46.0,0.035171326,0.3144412,0.25531015,0.10321289,2.832446
1,545.4365,25.159418,45.0,0.035932522,0.22220053,0.11312106,0.46826527,0.46867037
0,520.63824,25.700418,50.0,0.023569701,0.35298246,0.3021474,-0.83778864,-0.4747791
0,538.00244,52.929745,71.0,0.06439563,0.2773912,0.16026348,-0.89284104,-1.5210534
1,503.8589,32.077103,31.0,0.021629652,0.4090821,0.3266909,-0.98091596,-2.9738526
1,531.34,72.01999,63.0,0.11748853,0.29232207,0.21237257,1.049334,-1.1657859
1,513.327,30.232426,25.0,0.020482149,0.5465107,0.51496005,-1.057812,-1.2239599
1,503.79324,30.257841,37.0,0.03189473,0.41916424,0.37830442,-0.6914064,-2.2859087
0,536.2731,41.50299,44.0,0.03811735,0.36380866,0.23710553,0.28000504,-0.9316045
0,538.89044,47.52925,52.0,0.056260314,0.3533581,0.27006882,-1.0595313,0.43287122
0,535.3444,22.317854,37.0,0.017888011,0.3706979,0.27919304,1.4221362,-0.2544344
1,501.3015,24.995646,20.0,0.023477998,0.57979524,0.54804015,-0.18973495,-1.3435547
1,527.89294,16.783318,22.0,0.022564985,0.5197284,0.49338531,-1.5021696,-2.9835527
0,541.3607,40.302692,46.0,0.04819393,0.26552612,0.14453319,-0.2085624,2.0775156
1,517.10864,25.008984,38.0,0.019626746,0.29025468,0.15579183,-1.5240897,3.0194666
0,517.06885,24.903706,38.0,0.027236272,0.59477305,0.57802665,0.659117,2.0172074
1,512.1089,32.75346,41.0,0.02886013,0.39379367,0.27168012,-1.0054823,-0.4063951
0,522.4962,38.52989,54.0,0.046213593,0.28343096,0.1578204,1.2664924,-0.67691106
0,508.31052,43.44096,47.0,0.053213343,0.3117743,0.23964174,-1.6158496,-1.0075865
1,530.7587,23.038998,27.0,0.015061086,0.48417893,0.42335472,-0.540006,-0.2228926
0,516.4983,25.371311,45.0,0.027229028,0.26752833,0.14810726,-1.091374,1.3907778
1,530.9353,17.497015,20.0,0.012252417,0.43424046,0.3018639,0.2748384,-1.4797491
1,541.40125,8.9437895,21.0,0.010302716,0.31021923,0.17099015,-0.9363837,-2.7898364
1,509.9215,20.644947,22.0,0.018731117,0.2967475,0.13729535,-0.8246717,-1.396547
1,525.5891,32.634804,35.0,0.035506424,0.6252264,0.6111261,0.8264649,1.263674
1,546.2685,63.16933,47.0,0.10819972,0.2430125,0.11538092,-0.7385663,-2.3237703
0,507.69165,28.080004,40.0,0.037001785,0.30257815,0.21925771,0.3775256,0.062308405
1,538.4185,63.592026,56.0,0.101317436,0.23678014,0.13165177,0.0031704,2.1384737
0,547.4326,55.54884,53.0,0.06209195,0.25697726,0.12970458,0.20019712,-2.8728075
1,548.0315,17.626034,25.0,0.01648937,0.39159712,0.24783927,1.0742491,0.9501562
1,508.42303,11.154626,16.0,0.0075420234,0.5965719,0.5557275,0.95746875,1.8622546
0,505.87082,38.284264,52.0,0.03790565,0.31484058,0.2374016,1.2899157,-2.2529151
0,515.70844,79.50429,81.0,0.12077738,0.20003082,0.11599451,1.1671518,-3.048068
0,540.4712,65.07617,58.0,0.073464304,0.2710454,0.1445432,-0.75225997,2.3868654
1,516.83777,33.452522,41.0,0.041109815,0.31274414,0.2039094,-0.1805463,2.044747
0,549.0194,38.287292,24.0,0.04264096,0.41882792,0.35353938,-0.6743505,2.4130387
1,533.94415,42.0175,37.0,0.030910993,0.40791106,0.31519547,0.0029489067,2.1093647
0,501.99277,29.92293,38.0,0.028201967,0.32405344,0.23071393,1.5359778,1.9628682
0,546.7023,38.39298,62.0,0.0482514,0.24374099,0.15013829,1.3932492,-1.0292826
1,522.55066,45.204346,49.0,0.07147184,0.31795013,0.24351372,0.90159965,-1.7183666
0,506.50208,34.174164,56.0,0.041546687,0.2540626,0.19297513,0.69220793,-2.3320935
1,526.48834,10.457783,22.0,0.008193996,0.370453,0.25158218,1.1783415,1.2420337
0,518.1712,43.023228,58.0,0.04741227,0.19248393,0.07115519,0.23612,1.7798502
0,526.4805,41.575127,76.0,0.058282096,0.25009754,0.18002135,0.037300512,-0.40409753
1,511.14462,22.994942,21.0,0.01640114,0.6633146,0.6406839,-0.45822275,-1.282855
0,534.96594,28.562473,44.0,0.03171781,0.2653165,0.12853713,-1.1790869,0.3695955
1,529.1495,44.066677,52.0,0.049631875,0.33434847,0.23045005,-0.76151794,-2.7193074
1,501.44156,13.342282,19.0,0.015348225,0.4990529,0.47441334,-0.76413107,1.0905931
0,513.62177,43.339836,60.0,0.067570895,0.20750181,0.09110649,0.07916492,2.7538846
0,522.7494,40.89706,55.0,0.041557234,0.2810568,0.17609498,-0.34327558,2.5994508
1,526.10864,10.252471,17.0,0.007326251,0.60590255,0.5558381,0.77943337,-0.10690474
1,519.7408,58.589527,52.0,0.07735767,0.26533702,0.17216751,-0.022083163,1.9289501
1,542.8423,16.609505,30.0,0.020736152,0.38808903,0.30007568,1.5946323,-0.730412
0,542.2582,38.251114,52.0,0.05222993,0.23083702,0.116671115,1.5073318,2.46086
0,508.05347,43.75089,40.0,0.055307753,0.3862113,0.31115943,0.5318599,-1.6572208
0,532.7539,33.652195,24.0,0.025447931,0.41866156,0.35016012,0.29496196,-0.9339419
0,526.9089,44.24274,44.0,0.057719517,0.30100858,0.2303198,1.1732913,0.43311387
0,511.3618,49.957775,56.0,0.062884204,0.26873678,0.18699831,0.46093625,1.865665
0,546.3826,45.25033,51.0,0.05615862,0.22168791,0.085125245,0.6349753,-2.7050743
0,533.1842,25.89488,38.0,0.023983948,0.27233303,0.13627258,-0.14426525,0.34759068
1,526.9505,31.143526,40.0,0.028619884,0.29112178,0.20639108,-0.7959857,1.3990793
1,504.79315,18.651802,17.0,0.011956962,0.390179,0.22866005,0.23066504,1.5851678
0,501.81857,88.151375,100.0,0.15538757,0.14432257,0.079988584,-0.17296322,0.23785025
1,519.9917,25.85473,38.0,0.023323154,0.35544854,0.23082232,0.77370477,0.6652628
1,522.0003,35.651466,42.0,0.041570026,0.3488284,0.2751995,0.081191145,-0.470839
0,517.8149,30.646105,41.0,0.032440495,0.24854575,0.13297704,-1.5743048,-3.018882
0,530.27057,31.651705,50.0,0.031322904,0.24074657,0.13244596,0.96590257,-1.7201338
1,501.665,52.048214,35.0,0.055621237,0.30356488,0.21128815,1.0709087,2.3326356
0,536.1375,48.240555,60.0,0.07677383,0.22063018,0.12025579,-0.09031484,-0.97645724
1,505.8357,20.390728,30.0,0.024427054,0.27923188,0.13522017,-1.0236596,1.8967545
1,527.15576,41.62192,40.0,0.052180048,0.50591826,0.47648266,1.0533656,1.7194754
0,548.15106,49.651157,52.0,0.044790935,0.4241194,0.34732705,0.8588067,-2.1301463
1,517.90497,46.094677,36.0,0.078679495,0.30045158,0.18856575,0.026217964,2.3955693
0,502.58643,60.933956,70.0,0.09367968,0.20195033,0.10782253,0.13928752,1.0561702
1,545.8995,18.171112,29.0,0.01989546,0.3933175,0.29356998,1.3809805,-3.089318
1,523.22253,51.923744,25.0,0.08812174,0.46656084,0.314112,-0.017309472,-2.98677
0,511.4419,47.0381,66.0,0.06547406,0.20835234,0.11170425,-0.253781,-0.13714348
1,514.5929,41.210945,38.0,0.05447804,0.2795462,0.13589603,0.7730694,1.282132
1,532.75195,39.671963,32.0,0.052309383,0.26695946,0.13916424,-1.3925163,1.4605135
1,503.37332,28.241377,30.0,0.031677984,0.41706857,0.35392672,0.32770595,1.6909709
0,537.4651,19.69308,27.0,0.012169932,0.35016337,0.23157404,-1.0615666,0.63441646
0,547.51166,43.245445,63.0,0.059212532,0.227867,0.11342472,-0.0038130784,2.3636296
1,538.50916,16.076626,27.0,0.017215239,0.36412027,0.28402045,-1.6102645,-1.7718747
0,542.3225,62.31907,50.0,0.08346713,0.261417,0.1662827,1.178353,-0.45946184
1,536.8441,88.258736,60.0,0.1483887,0.2556247,0.13954253,0.17643042,0.6732617
1,502.48438,44.091568,35.0,0.044273328,0.36797065,0.3108794,0.8703649,-2.7109523
1,508.20508,19.784885,34.0,0.014161018,0.47343442,0.31218696,1.110211,-0.26957196
0,529.53125,19.470892,35.0,0.021310087,0.29191506,0.15079275,-1.0841396,-2.6059718
0,513.62195,72.1431,75.0,0.1252649,0.17851081,0.075736746,-1.0147681,-0.93726367
1,505.99454,26.391739,22.0,0.020996757,0.5258932,0.46174252,0.5970168,1.148808
0,538.2743,60.626625,59.0,0.10612451,0.21806058,0.15073691,-1.4218053,-0.29736647
1,518.2819,67.39943,47.0,0.12471397,0.25692344,0.15144902,-1.5858058,-2.7849245
0,546.83905,69.74793,76.0,0.091247596,0.25744838,0.1822668,-1.283125,1.1451436
0,511.38544,72.00892,80.0,0.08857277,0.20816448,0.09476808,-0.2742518,0.11848382
0,525.00354,38.822044,55.0,0.047130663,0.21775003,0.108541906,0.09208027,2.283909
0,529.4409,43.08742,60.0,0.042873032,0.2234785,0.1043707,-0.98649466,-1.276022
0,524.6345,48.081196,56.0,0.07450448,0.21002764,0.084441744,-1.2398293,2.6624768
0,531.2934,97.68222,82.0,0.16296461,0.18346374,0.11242492,-0.30876315,-3.036855
1,508.77298,31.03694,43.0,0.026601577,0.2884495,0.16442704,0.87989575,0.94921595
1,528.0287,25.43064,33.0,0.025935302,0.4149345,0.31904063,1.3669149,2.1798108
0,519.8457,58.159306,29.0,0.07839507,0.26033318,0.16512851,1.500341,-0.609603
1,539.7673,45.957024,47.0,0.03963262,0.4755622,0.4215982,0.5206137,-2.467458
0,502.13226,20.161985,25.0,0.021049507,0.36741358,0.2515456,0.47000483,1.0949134
0,532.47644,14.817296,24.0,0.019206576,0.29802418,0.19400069,-1.2138736,-2.1622765
1,537.7557,14.591986,20.0,0.009851185,0.40017775,0.2627835,-0.13996315,2.1406507
0,539.4662,70.486534,56.0,0.103914455,0.25263616,0.16786385,-1.5927154,2.9038525
0,517.82806,20.466139,36.0,0.023190487,0.32685673,0.21969277,-0.14143302,2.1182058
